resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24886,1043,842,213,10,4,\N,R,20,0,8,\N,\N,5,20,01:20.4,219.797,34
24899,1044,842,213,10,19,13,13,13,0,57,\N,\N,53,7,01:39.6,192.966,11
24912,1045,842,213,10,8,6,6,6,8,57,11.942,10799457,48,16,01:34.8,205.482,1
24937,1046,842,213,10,9,11,11,11,0,87,20.527,5495641,53,10,00:57.2,222.908,1
24954,1047,842,213,10,9,8,8,8,4,55,+1:29.718,5878363,53,15,01:42.5,195.116,1
24628,1031,844,6,16,7,2,2,2,18,71,2.7,5458439,64,4,01:07.9,228.933,1
24665,1032,844,6,16,14,\N,R,19,0,4,\N,\N,3,19,01:35.4,162.979,130
24677,1033,844,6,16,6,11,11,11,0,69,\N,\N,64,16,01:20.8,195.142,11
24689,1034,844,6,16,4,3,3,3,15,52,18.474,5299757,49,9,01:29.8,236.13,1
24710,1035,844,6,16,8,4,4,4,12,52,29.289,4811282,39,8,01:30.6,234.203,1
24746,1036,844,6,16,9,\N,R,20,0,38,\N,\N,35,20,01:24.0,199.576,40
24760,1037,844,6,16,13,14,14,14,0,44,+1:14.920,5123681,26,4,01:47.8,233.813,1
24784,1038,844,6,16,13,\N,R,18,0,23,\N,\N,19,19,01:26.0,242.424,3
24794,1039,844,6,16,5,8,8,8,4,59,28.345,8403405,50,9,01:21.2,232.453,1
24812,1040,844,6,16,10,6,6,6,8,53,+1:02.186,5702550,47,11,01:39.1,212.54,1
24833,1041,844,6,16,4,7,7,7,6,60,30.814,5780455,54,10,01:30.7,204.303,1
24850,1042,844,6,16,4,4,4,4,12,66,+1:05.312,5462140,66,7,01:20.4,208.322,1
24871,1043,844,6,16,7,5,5,5,10,63,19.111,5331541,62,12,01:18.2,226.067,1
24890,1044,844,6,16,12,4,4,4,12,58,33.858,6173171,47,11,01:40.0,192.242,1
24916,1045,844,6,16,12,10,10,10,1,56,\N,\N,44,8,01:33.6,208.098,11
24946,1046,844,6,16,4,\N,R,20,0,0,\N,\N,40,0,\N,\N,4
24959,1047,844,6,16,12,13,13,13,0,54,\N,\N,24,10,01:41.9,196.2,11
24629,1031,846,1,4,3,3,3,3,16,71,5.491,5461230,71,1,01:07.5,230.378,1
24651,1032,846,1,4,9,5,5,5,10,71,+1:01.470,5032153,66,5,01:07.2,231.345,1
24679,1033,846,1,4,8,13,13,13,0,69,\N,\N,42,8,01:19.9,197.28,11
24691,1034,846,1,4,5,5,5,5,10,52,22.277,5303560,41,12,01:30.1,235.488,1
24715,1035,846,1,4,10,9,9,9,2,52,+1:05.544,4847537,49,11,01:30.7,233.826,1
24736,1036,846,1,4,8,10,10,10,1,65,\N,\N,56,13,01:22.4,203.393,11
24753,1037,846,1,4,10,7,7,7,6,44,43.774,5092535,39,11,01:48.6,232.279,1
24770,1038,846,1,4,6,4,4,4,12,53,6,6432056,50,7,01:24.2,247.587,1
24792,1039,846,1,4,11,6,6,6,8,59,18.883,8393943,59,7,01:21.2,232.542,1
24821,1040,846,1,4,8,15,15,15,0,52,\N,\N,50,5,01:37.4,216.198,11
24842,1041,846,1,4,8,\N,R,16,0,42,\N,\N,40,17,01:32.3,200.727,131
24859,1042,846,1,4,8,13,13,13,0,65,\N,\N,65,3,01:19.4,211.073,11
24874,1043,846,1,4,9,8,8,8,4,63,21.131,5333561,63,8,01:18.1,226.368,1
24894,1044,846,1,4,14,8,8,8,5,58,+1:01.259,6200572,58,1,01:36.8,198.508,1
24910,1045,846,1,4,9,4,4,4,12,57,11.337,10798852,53,7,01:33.6,208.18,1
24936,1046,846,1,4,19,10,10,10,1,87,19.541,5494655,85,11,00:57.3,222.713,1
24951,1047,846,1,4,4,5,5,5,10,55,+1:00.729,5849374,53,12,01:42.0,196.092,1
24641,1031,847,3,63,17,\N,R,15,0,49,\N,\N,49,14,01:09.3,224.256,32
24662,1032,847,3,63,11,16,16,16,0,69,\N,\N,36,16,01:08.6,226.597,12
24684,1033,847,3,63,12,18,18,18,0,69,\N,\N,67,9,01:20.0,197.184,11
